600883.SH,博闻科技
600884.SH,杉杉股份
600885.SH,宏发股份
600886.SH,国投电力
600887.SH,伊利股份
600888.SH,新疆众和
600889.SH,南京化纤
601328.SH,交通银行
601988.SH,中国银行
600979.SH,广安爱众
600537.SH,亿晶光电
600562.SH,国睿科技
600037.SH,歌华有线
600050.SH,中国联通
600051.SH,宁波联合
600052.SH,浙江广厦
600054.SH,黄山旅游
900942.SH,黄山B股
600056.SH,中国医药
600057.SH,象屿股份
600059.SH,古越龙山
600060.SH,海信电器
600062.SH,华润双鹤
600063.SH,皖维高新
600064.SH,南京高科
600325.SH,华发股份
600493.SH,凤竹纺织
600387.SH,海越股份
600672.SH,*ST华圣
600674.SH,川投能源
601588.SH,北辰实业
600085.SH,同仁堂
600087.SH,退市长油
600088.SH,中视传媒
600009.SH,上海机场
600010.SH,包钢股份
600011.SH,华能国际
600676.SH,交运股份
600249.SH,两面针
601669.SH,中国电建
601058.SH,赛轮金宇
601908.SH,京运通
601003.SH,柳钢股份
601177.SH,杭齿前进
601800.SH,中国交建
601872.SH,招商轮船
601699.SH,潞安环能
601808.SH,中海油服
601118.SH,海南橡胶
601139.SH,深圳燃气
600017.SH,日照港
601101.SH,昊华能源
601666.SH,平煤股份
601999.SH,出版传媒
600048.SH,保利地产
601898.SH,中煤能源
601238.SH,广汽集团
601028.SH,玉龙股份
601010.SH,文峰股份
601006.SH,大秦铁路
601677.SH,明泰铝业
601777.SH,力帆股份
601989.SH,中国重工
601186.SH,中国铁建
601168.SH,西部矿业
601668.SH,中国建筑
601117.SH,中国化学
600388.SH,龙净环保
600400.SH,红豆股份
600456.SH,宝钛股份
600500.SH,中化国际
600512.SH,腾达建设
600561.SH,江西长运
601718.SH,际华集团
601339.SH,百隆东方
603001.SH,奥康国际
600302.SH,标准股份
600312.SH,平高电气
600326.SH,西藏天路
600336.SH,澳柯玛
601929.SH,吉视传媒
600665.SH,天地源
600673.SH,东阳光科
601311.SH,骆驼股份
601928.SH,凤凰传媒
600015.SH,华夏银行
600469.SH,风神股份
600340.SH,华夏幸福
600438.SH,通威股份
600455.SH,博通股份
600969.SH,郴电国际
603366.SH,日出东方
601636.SH,旗滨集团
601801.SH,皖新传媒
601678.SH,滨化股份
601011.SH,宝泰隆
601799.SH,星宇股份
601700.SH,风范股份
601789.SH,宁波建工
601566.SH,九牧王
601258.SH,庞大集团
603333.SH,明星电缆
601012.SH,隆基股份
601933.SH,永辉超市
600038.SH,中直股份
600058.SH,五矿发展
600067.SH,冠城大通
601231.SH,环旭电子
601000.SH,唐山港
601208.SH,东材科技
601113.SH,华鼎股份
601515.SH,东风股份
601616.SH,广电电气
600086.SH,东方金钰
600095.SH,哈高科
600205.SH,S山东铝
600215.SH,长春经开
600243.SH,青海华鼎
600257.SH,大湖股份
